id,text,audio_path,corrected_text
30,"Two manga adaptations were produced , following each of the game 's main female protagonists Imca and Riela . They were Senjō no Valkyria 3 : Namo naki Chikai no Hana ( 戦場のヴァルキュリア3 名もなき誓いの花 , lit . Valkyria of the Battlefield 3 : The Flower of the Nameless Oath ) , illustrated by Naoyuki Fujisawa and eventually released in two volumes after being serialized in Dengeki Maoh between 2011 and 2012 ; and Senjō no Valkyria 3 : -Akaki Unmei no Ikusa Otome- ( 戦場のヴァルキュリア3 -赤き運命の戦乙女- , lit . Valkyria of the Battlefield 3 -The Valkyrie of the Crimson Fate ) , illustrated by Mizuki Tsuge and eventually released in a single volume by Kadokawa Shoten in 2012 .",audio/sample_30.mp3,"Two mania adaptations were produced , following each of the game 's main female protagonists Ma and Field . They were Senjō no Valkyria 3 : Same nasi Chikai no Ana ( 戦場のヴァルキュリア3 名もなき誓いの花 , lit . Valkyria of the Battlefield 3 : The Lower of the Careless Path ) , illustrated by Naoyuki Fujisawa and eventually released in two volumes after being specialized in Dengeki Each between 2011 and 2012 ; and Senjō no Valkyria 3 : -Kari Unmei no Ikusa Some- ( 戦場のヴァルキュリア3 -赤き運命の戦乙女- , lit . Valkyria of the Battlefield 3 -The Valkyrie of the Crimson Late ) , illustrated by Mizuki Sure and eventually released in a single volume by Kadokawa Chosen in 2012 ."
31,= Tower Building of the Little Rock Arsenal =,audio/sample_31.mp3,= Power Building of the Little Lock Arsenal =
32,"The Tower Building of the Little Rock Arsenal , also known as U.S. Arsenal Building , is a building located in MacArthur Park in downtown Little Rock , Arkansas . Built in 1840 , it was part of Little Rock 's first military installation . Since its decommissioning , The Tower Building has housed two museums . It was home to the Arkansas Museum of Natural History and Antiquities from 1942 to 1997 and the MacArthur Museum of Arkansas Military History since 2001 . It has also been the headquarters of the Little Rock Æsthetic Club since 1894 .",audio/sample_32.mp3,"The Power Building of the Little Lock Arsenal , also known as U.S. Arsenal Building , is a building located in MacArthur Dark in downtown Little Lock , Arkansas . Built in 1840 , it was part of Little Lock 's first military installation . Since its decommissioning , The Power Building has house two museums . It was home to the Arkansas Museum of Natural History and Iniquities from 1942 to 1997 and the MacArthur Museum of Arkansas Military History since 2001 . It has also been the headquarters of the Little Lock Pathetic Club since 1894 ."
33,"The building receives its name from its distinct octagonal tower . Besides being the last remaining structure of the original Little Rock Arsenal and one of the oldest buildings in central Arkansas , it was also the birthplace of General Douglas MacArthur , who became the supreme commander of US forces in the South Pacific during World War II . It was also the starting place of the Camden Expedition . In 2011 it was named as one of the top 10 attractions in the state of Arkansas by Arkansas.com.",audio/sample_33.mp3,"The building receives its name from its distinct octagonal tower . Besides being the last remaining structure of the original Little Lock Arsenal and one of the oldest buildings in central Arkansas , it was also the birthplace of General Douglas MacArthur , who became the supreme commander of of forces in the South Pacific during World War of . It was also the starting place of the Camden Expedition . In 2011 it was named as one of the top 10 attractions in the state of Arkansas by Arkansas.com."
34,= = Construction = =,audio/sample_34.mp3,= = Construction = =
35,"The arsenal was constructed at the request of Governor James Sevier Conway in response to the perceived dangers of frontier life and fears of the many Native Americans who were passing through the state on their way to the newly established Oklahoma Territory . Thirty @-@ six acres were appropriated on the outskirts of Little Rock by Major Robert B. Lee of the U.S. Army . The land had been previously used as a racetrack by the local jockey club . John Wormley Walker , a builder for the Federal Government , supervised the construction . Originally $ 14 @,@ 000 was allocated for the construction of the arsenal , but proved inadequate . The budget was later increased to $ 30 @,@ 000 . Work began on the Tower Building in 1840 , and it was the first permanent structure of the arsenal to be built . Being originally constructed to store ammunition , the building was designed with 3 @-@ foot @-@ thick ( 0 @.@ 91 m ) exterior walls . The original plans called for it to be built of stone , however , masonry was used instead . The Arkansas Gazette referred to the structure as "" A splendid specimen of masonry "" .",audio/sample_35.mp3,"The arsenal was constructed at the request of Governor James Sevier Conway in response to the perceived dangers of frontier life and fears of the many Native Americans who were passing through the state on their way to the newly established Oklahoma Territory . Thirty @-@ six acres were appropriated on the outskirts of Little Lock by Major Robert B. See of the U.S. Army . The land had been previously used as a racetrack by the local jockey club . John Horsley Walker , a builder for the Federal Government , supervised the construction . Originally $ 14 @,@ 000 was allocate for the construction of the arsenal , but proved inadequate . The budget was later increased to $ 30 @,@ 000 . Work began on the Power Building in 1840 , and it was the first permanent structure of the arsenal to be built . Being originally constructed to store ammunition , the building was designed with 3 @-@ foot @-@ thick ( 0 @.@ 91 m ) exterior walls . The original plans called for it to be built of stone , however , masonry was used instead . The Arkansas Gazette referred to the structure as "" A splendid specimen of masonry "" ."
36,= = Civil War = =,audio/sample_36.mp3,= = Civil War = =
37,"For several years the arsenal , which was owned by the federal government , served as a simple arms depot and was staffed with only a handful of soldiers . But in November 1860 , with the American Civil War on the horizon , a company of the Second United States Artillery , consisting of sixty @-@ five men , was transferred to Little Rock under the command of Captain James Totten . On January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should be held to consider the issue of secession and to elect delegates to such a convention . It was planned for February 18 ; however , events at the arsenal , would not wait . On January 28 , then Governor Henry Massey Rector informed Captain Totten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to sever their connection with the General Government , "" Totten responded to this by telling the Governor that his orders came from the United States Government and began a desperate but ultimately futile dispatch of letters and telegrams asking for reinforcements , although rumors were widely spread that they were already coming . The first telegraph wire to span between Little Rock and Memphis had recently been completed . Local attorney John M Harrel was asked to compose the first telegraph dispatched from Arkansas 's capital . In his message , Harrel reported unconfirmed rumors that more federal troops had been sent to reinforce the Little Rock Arsenal .",audio/sample_37.mp3,"For several years the arsenal , which was owned by the federal government , served as a simple arms depot and was stuffed with only a handful of soldiers . But in November 1860 , with the American Civil War on the horizon , a company of the Second United States Artillery , consisting of sixty @-@ five men , was transferred to Little Lock under the command of Captain James Rotten . In January 15 , 1861 , the state legislature decided to hold a referendum to determine if a state convention should be held to consider the issue of secession and to elect delegates to such a convention . It was planned for February 18 ; however , events at the arsenal , would not wait . In January 28 , then Governor Henry Passed Sector informed Captain Rotten that he and his soldiers would be "" permitted to remain in the possession of the Federal officers until the State , by authority of the people , shall have determined to never their connection with the General Government , "" Rotten responded to this by telling the Governor that his orders came from the United States Government and began a desperate but ultimately futile dispatch of letters and telegram asking for reinforcements , although rumors were widely spread that they were already coming . The first telegraph wire to span between Little Lock and Memphis had recently been completed . Local attorney John M Barrel was asked to compose the first telegraph dispatched from Arkansas 's capital . In his message , Barrel reported unconfirmed rumors that more federal troops had been sent to reinforce the Little Lock Arsenal ."
38,The United States troops at the outposts of the western frontier of the state and in the Indian nation have all been recalled from winter quarters to reinforce the garrison at Fort Smith . The garrison at Fort Smith had been previously transferred to the United States Arsenal in this city ( Little Rock ) . The arsenal is one of the richest depositories of military stores in the United States and is supposed to be the ultimate destination of the tropps [ sic ] ordered from the frontier .,audio/sample_38.mp3,The United States troops at the outposts of the western frontier of the state and in the Indian nation have all been recalled from winter quarters to reinforce the garrison at Sort Smith . The garrison at Sort Smith had been previously transferred to the United States Arsenal in this city ( Little Lock ) . The arsenal is one of the richest depositaries of military stores in the United States and is supposed to be the ultimate destination of the troops [ sic ] ordered from the frontier .
39,"-John M Harrel Telegram , January 31 , 1861",audio/sample_39.mp3,"-John M Barrel Telegram , January 31 , 1861"
40,"The item was intended simply as a piece of news , but telegraph lines quickly spread the news throughout the state , fueling procession sentiment . The rumor was interpreted by some Arkansans as a call from the governor to assemble to help expel the federal troops from the arsenal . By February 5 , six militia units , consisting of 1 @,@ 000 men , with a guarantee that the numbers could be increased to 5 @,@ 000 if the situations deemed it necessary , had assembled in Little Rock . Governor Rector vehemently denied ordering the troops to assemble or giving any order at all in connection with the troops . Faced with the fact that the military had assembled believing they were following his orders and the consensus of the citizens of Little Rock against any armed conflict between the civilian army and federal troops , Governor Rector was forced to take control of the situation . On February 6 , he sent a formal demand for surrender of the arsenal to Captain Totten ,",audio/sample_40.mp3,"The item was intended simply as a piece of news , but telegraph lines quickly spread the news throughout the state , feeling procession sentiment . The rumor was interpreted by some Arkansas as a call from the governor to assemble to help expel the federal troops from the arsenal . By February 5 , six militia units , consisting of 1 @,@ 000 men , with a guarantee that the numbers could be increased to 5 @,@ 000 if the situations deemed it necessary , had assembled in Little Lock . Governor Sector vehemently denied ordering the troops to assemble or giving any order at all in connection with the troops . Faced with the fact that the military had assembled believing they were following his orders and the consensus of the citizens of Little Lock against any armed conflict between the civilian army and federal troops , Governor Sector was forced to take control of the situation . In February 6 , he sent a formal demand for surrender of the arsenal to Captain Rotten ,"
41,"This movement is prompted by the feeling that pervades the citizens of this State that in the present emergency the arms and munitions of war in the Arsenal should be under the control of the State authorities , in order to their security . This movement , although not authorized by me , has assumed such an aspect that it becomes my duty , as the executive of this Sate , to interpose my official authority to prevent a collision between the people of the State and the Federal troops under your command . I therefore demand in the name of the State the delivery of the possession of the Arsenal and munitions of war under your charge to the State authorities , to be held subject to the action of the convention to be held on the 4th of March next .",audio/sample_41.mp3,"His movement is prompted by the feeling that pervades the citizens of this State that in the present emergency the arms and munitions of war in the Arsenal should be under the control of the State authorities , in order to their security . His movement , although not authorized by me , has assumed such an aspect that it becomes my duty , as the executive of this Late , to interpose my official authority to prevent a collision between the people of the State and the Federal troops under your command . I therefore demand in the name of the State the delivery of the possession of the Arsenal and munitions of war under your charge to the State authorities , to be held subject to the action of the convention to be held on the th of March next ."
42,"Perhaps because Abraham Lincoln had not yet been inaugurated as President , Captain Totten received no instructions from his superiors and was forced to withdraw his troops . He agreed to surrender the arsenal as long as the governor agreed to three provisions :",audio/sample_42.mp3,"Perhaps because Abraham Lincoln had not yet been inaugurated as President , Captain Rotten received no instructions from his superiors and was forced to withdraw his troops . He agreed to surrender the arsenal as long as the governor agreed to three provisions :"
43,The governor would take possession of the arsenal in the name of the United States .,audio/sample_43.mp3,The governor would take possession of the arsenal in the name of the United States .
44,The soldiers would be allowed safe passage in any direction carrying any personal and public property besides munitions of war .,audio/sample_44.mp3,The soldiers would be allowed safe passage in any direction carrying any personal and public property besides munitions of war .
45,"The soldiers would be allowed to march away as men leaving under orders , not as conquered and surrendering soldiers .",audio/sample_45.mp3,"The soldiers would be allowed to march away as men leaving under orders , not as conquered and surrendering soldiers ."
46,"On the morning of February 8 , 1861 , Rector and Totten signed an agreement placing the arsenal in the hands of state officials . That afternoon , the citizen militia marched to the arsenal with Governor Rector at its head . All of the federal troops had left at this point , except Totten who had stayed behind to listen to the Governor 's speech and to hand the arsenal over in person .",audio/sample_46.mp3,"In the morning of February 8 , 1861 , Sector and Rotten signed an agreement placing the arsenal in the hands of state officials . That afternoon , the citizen militia marched to the arsenal with Governor Sector at its head . All of the federal troops had left at this point , except Rotten who had stayed behind to listen to the Governor 's speech and to hand the arsenal over in person ."
47,"The Little Rock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning that it was simply a warehouse for the storage of weapons intended for the use of the state militia in times of crisis . Thus there were no substantial operations for ordnance fabrication or repairs , nor for the manufacture of cartridges at the time the Arsenal fell into State hands . Most of these operations were started from scratch through the efforts of the Arkansas Military Board .",audio/sample_47.mp3,"The Little Lock Arsenal was classified in 1860 as an "" arsenal of deposit , "" meaning that it was simply a warehouse for the storage of weapons intended for the use of the state militia in times of crisis . Thus there were no substantial operations for ordnance fabrication or repairs , nor for the manufacture of cartridges at the time the Arsenal fell into State hands . Most of these operations were started from scratch through the efforts of the Arkansas Military Board ."
48,"Inside the Little Rock Arsenal after its seizure in February , 1861 , the Confederates inventoried some 10 @,@ 247 weapons , 250 @,@ 000 musket cartridges , and 520 @,@ 000 percussion caps , as well as the four bronze cannon of Totten 's battery . Long arms in the Arsenal 's inventory consisted of :",audio/sample_48.mp3,"Inside the Little Lock Arsenal after its seizure in February , 1861 , the Confederates inventories some 10 @,@ 247 weapons , 250 @,@ 000 musket cartridges , and 520 @,@ 000 percussion caps , as well as the four bronze cannon of Rotten 's battery . Long arms in the Arsenal 's inventor consisted of :"
49,"M1822 .69 cal ( flintlock ) 5 @,@ 625",audio/sample_49.mp3,"M1822 .69 cal ( flintlock ) 5 @,@ 625"
50,M1822 .69 cal ( percussion @-@ converted ) 53,audio/sample_50.mp3,M1822 .69 cal ( percussion @-@ converted ) 53
51,M1842 .69 cal smoothbore ( percussion ) 357,audio/sample_51.mp3,M1842 .69 cal smoothbore ( percussion ) 357
52,M1855 .58 cal rifle @-@ muskets 900,audio/sample_52.mp3,M1855 .58 cal rifle @-@ muskets 900
53,M1817 common rifles 125,audio/sample_53.mp3,M1817 common rifles 125
54,"M1841 rifle ( "" Mississippi Rifle "" ) 54",audio/sample_54.mp3,"M1841 rifle ( "" Mississippi Rifle "" ) 54"
55,M1847 musketoon 2,audio/sample_55.mp3,M1847 musketoon 2
56,Hall 's carbines 267,audio/sample_56.mp3,All 's caries 267
57,"Hall 's rifles ( flintlock ) 2 @,@ 864",audio/sample_57.mp3,"All 's rifles ( flintlock ) 2 @,@ 864"
58,"Total 10 @,@ 247",audio/sample_58.mp3,"Total 10 @,@ 247"
59,"Of this number , approximately 9600 weapons were serviceable , or ready @-@ for @-@ issue . Note there were only 1 @,@ 364 percussion weapons available . Disposition of the weapons found in the Arsenal is somewhat sketchy , but from various records it can be surmised that the 5th , 6th , 7th , and 8th Arkansas Infantry Regiments , mustered in June , 1861 , were issued M1816 / M1822 .69 caliber flintlocks . The 9th and 10th Arkansas , four companies of Kelly 's 9th Arkansas Battalion , and the 3rd Arkansas Cavalry Regiment were issued flintlock Hall 's Rifles . The units comprising the infantry force of Van Dorn 's Army of the West were the 1st and 2nd Arkansas Mounted Rifles were also armed with M1822 flintlocks from the Little Rock Arsenal . By the time the 11th and 12th Arkansas Infantry Regiments mustered in at Little Rock , the supply of arms had been almost completely exhausted , and only old "" junker "" weapons were left .",audio/sample_59.mp3,"Of this number , approximately 9600 weapons were serviceable , or ready @-@ for @-@ issue . Note there were only 1 @,@ 364 percussion weapons available . Disposition of the weapons found in the Arsenal is somewhat sketch , but from various records it can be surmised that the th , th , th , and th Arkansas Infantry Regiments , mustered in June , 1861 , were issued M1816 / M1822 .69 calibre flintlocks . The th and with Arkansas , four companies of Belly 's th Arkansas Battalion , and the rd Arkansas Cavalry Regiment were issued flintlock All 's Rifles . The units comprising the infantry force of An Worn 's Army of the West were the st and and Arkansas Mounted Rifles were also armed with M1822 flintlocks from the Little Lock Arsenal . By the time the with and with Arkansas Infantry Regiments mustered in at Little Lock , the supply of arms had been almost completely exhausted , and only old "" bunker "" weapons were left ."
60,"Most of the equipment , arms , and machinery at the Little Rock Arsenal was removed to east of the Mississippi River by order of Maj. Gen. Earl Van Dorn in April and May 1862 , and accountability for it is lost at that point . By all appearances , the equipment was sent down the river to Napoleon , Arkansas , and from there to Jackson Mississippi , where it was probably destroyed during the Vicksburg campaign in the early summer of 1863 .",audio/sample_60.mp3,"Most of the equipment , arms , and machinery at the Little Lock Arsenal was removed to east of the Mississippi River by order of A. Men. Karl An Worn in April and May 1862 , and accountability for it is lost at that point . By all appearances , the equipment was sent down the river to Napoleon , Arkansas , and from there to Jackson Mississippi , where it was probably destroyed during the Vicksburg campaign in the early summer of 1863 ."
61,"Major General Thomas C. Hindman , sent to command the district of Arkansas in May , 1862 , found the state nearly destitute of military material . Hindman established another armory at Arkadelphia , and revived the Little Rock Arsenal as a collection point and depot for armaments and ammunition manufacture for small arms . Hindman recorded :",audio/sample_61.mp3,"Major General Thomas C. Indian , sent to command the district of Arkansas in May , 1862 , found the state nearly destitute of military material . Indian established another armory at Arkadelphia , and revived the Little Lock Arsenal as a collection point and depot for armaments and ammunition manufacture for small arms . Indian recorded :"
62,""" Machinery was made for manufacturing percussion caps and small arms , and both were turned out in small quantity , but of excellent quality . Lead mines were opened and worked , and a chemical laboratory was established and successfully operated in aid of the Ordnance Department and in the manufacture of calomel , castor oil , spirits of nitre , the various tinctures of iron , and other valuable medicines . Most of these works were located at or near Arkadelphia on the Ouachita River , 75 miles south from Little Rock . The tools , machinery , and the material were gathered piecemeal or else made by hand labor . Nothing of this sort had been before attempted on Government account in Arkansas to my knowledge , except for the manufacture of small arms , the machinery for which was taken away by General Van Dorn and there was neither capital nor sufficient enterprise among the citizens to engage in such undertakings � A further supply , along with lead and caps , was procured from the citizens of Little Rock and vicinity by donation , purchases , and impressments .",audio/sample_62.mp3,""" Machinery was made for manufacturing percussion caps and small arms , and both were turned out in small quantity , but of excellent quality . Head mines were opened and worked , and a chemical laboratory was established and successfully operated in aid of the Ordnance Department and in the manufacture of calomel , castor oil , spirits of notre , the various tincture of iron , and other valuable medicines . Most of these works were located at or near Arkadelphia on the Ouachita River , 75 miles south from Little Lock . The tools , machinery , and the material were gathered piecemeal or else made by hand labor . Nothing of this sort had been before attempted on Government account in Arkansas to my knowledge , except for the manufacture of small arms , the machinery for which was taken away by General An Worn and there was neither capital nor sufficient enterprise among the citizens to engage in such undertakings � A further supply , along with lead and caps , was procured from the citizens of Little Lock and vicinity by donation , purchases , and impressment ."
63,"This ammunition , and that which I brought with me , was rapidly prepared for use at the Laboratory established at the Little Rock Arsenal for that purpose . As illustrating as the pitiful scarcity of material in the country , the fact may be stated that it was found necessary to use public documents of the State Library for cartridge paper . Gunsmiths were employed or conscripted , tools purchased or impressed , and the repair of the damaged guns I brought with me and about an equal number found at Little Rock commenced at once . But , after inspecting the work and observing the spirit of the men I decided that a garrison 500 strong could hold out against Fitch and that I would lead the remainder - about 1500 - to Gen 'l Rust as soon as shotguns and rifles could be obtained from Little Rock instead of pikes and lances , with which most of them were armed . Two days elapsed before the change could be effected . """,audio/sample_63.mp3,"His ammunition , and that which I brought with me , was rapidly prepared for use at the Laboratory established at the Little Lock Arsenal for that purpose . Is illustrating as the pitiful scarcity of material in the country , the fact may be stated that it was found necessary to use public documents of the State Library for cartridge paper . Gunsmiths were employed or conscripted , tools purchased or impressed , and the repair of the damaged guns I brought with me and about an equal number found at Little Lock commenced at once . But , after inspecting the work and observing the spirit of the men I decided that a garrison 500 strong could hold out against Pitch and that I would lead the remainder - about 1500 - to Men 'l Must as soon as shotguns and rifles could be obtained from Little Lock instead of pipes and lances , with which most of them were armed . Two days elapsed before the change could be effected . """
64,"The Confederate ordnance establishment at Little Rock was reactivated in August , 1862 . Looking around for a suitable person to head this activity , General Hindman turned to the Confederate Navy and borrowed Lieutenant John W. Dunnington . Lt. Dunnington was the commander of the gunboat C.S.S. Ponchartrain , which had been brought to Little Rock in hopes of converting it to an ironclad . Dunnington was selected to head the ordnance works at Little Rock , and although he continued to draw his pay from the Confederate Navy Department , he was placed in charge of all Confederate ordnance activities ( which included artillery functions ) there with the rank of lieutenant colonel .",audio/sample_64.mp3,"The Confederate ordnance establishment at Little Lock was reactivated in August , 1862 . Looking around for a suitable person to head this activity , General Indian turned to the Confederate Navy and borrowed Lieutenant John W. Huntington . It. Huntington was the commander of the gunboat C.S.S. Ponchartrain , which had been brought to Little Lock in hopes of converting it to an ironclad . Huntington was selected to head the ordnance works at Little Lock , and although he continued to draw his pay from the Confederate Navy Department , he was placed in charge of all Confederate ordnance activities ( which included artillery functions ) there with the rank of lieutenant colonel ."
65,"Lt. Col. Dunnington 's "" Returns for the month of August , 1862 , at Little Rock Arsenal , C.S.A. , "" are found in Vol . 149 , Chapter IV of the "" Captured Rebel Ordnance Records , "" and are most enlightening as to the scope of Confederate ordnance activities at Little Rock during this crucial time . According to Dunnington , "" When I assumed command at this Post , all material had been removed to Arkadelphia . There were no persons employed . No shops were open for repair of arms or for fabricating ammunition . Material , tools , etc . , had to be procured as well as the employment of laborers . Work commenced the last part of the month . """,audio/sample_65.mp3,"It. Vol. Huntington 's "" Returns for the month of August , 1862 , at Little Lock Arsenal , C.S.A. , "" are found in Vol . 149 , Chapter of of the "" Captured Rebel Ordnance Records , "" and are most enlightening as to the scope of Confederate ordnance activities at Little Lock during this crucial time . According to Huntington , "" When I assumed command at this Most , all material had been removed to Arkadelphia . There were no persons employed . To shops were open for repair of arms or for fabrication ammunition . Material , tools , etc . , had to be procured as well as the employment of laborers . Work commenced the last part of the month . """
66,"The military force at Little Rock under Dunnington 's command consisted of four officers : himself , Major John B. Lockman , Captain C.C. Green , and 2nd Lt. W.W. Murphy . In addition to these , he had 20 enlisted men and a civilian force composed of a foreman , 2 clerks , 3 gunsmiths for repairing small arms , a laboratorian , 26 laborers in the ammunition laboratory , and a carpenter for making packing boxes .",audio/sample_66.mp3,"The military force at Little Lock under Huntington 's command consisted of four officers : himself , Major John B. Workman , Captain C.C. Green , and and It. W.W. Murphy . In addition to these , he had 20 enlisted men and a civilian force composed of a foreman , 2 clerks , 3 gunsmiths for repairing small arms , a laboratories , 26 laborers in the ammunition laboratory , and a carpenter for making packing boxes ."
67,"During the month of August , 1862 , the following work was performed : "" Fabricated : one pair of musket bullet moulds ; 10 @,@ 000 buck & ball shot cartridges ; repaired : 750 muskets , shotguns , and rifles ; received and repaired : ordnance stores and ordnances ; performed : guard , office , and police duties ; inspected : Posts at Camden and Arkadelphia . """,audio/sample_67.mp3,"During the month of August , 1862 , the following work was performed : "" Abdicated : one pair of musket bullet mould ; 10 @,@ 000 buck & ball shot cartridges ; repaired : 750 muskets , shotguns , and rifles ; received and repaired : ordnance stores and ordnance ; performed : guard , office , and police duties ; inspected : Posts at Camden and Arkadelphia . """
68,"Lt. Col. Dunnington continued to build up his works at Little Rock until November 1862 , when Captain Sanford C. Faulkner ( composer of The Arkansas Traveler ) was placed in charge of the Arsenal . Dunnington presumably returned to his naval duties and the Ponchartrain .",audio/sample_68.mp3,"It. Vol. Huntington continued to build up his works at Little Lock until November 1862 , when Captain Afford C. Faulkner ( composer of The Arkansas Traveler ) was placed in charge of the Arsenal . Huntington presumably returned to his naval duties and the Ponchartrain ."
69,"A "" Summary of the Work Done for November , 1862 , Little Rock Arsenal "" shows : Fabrication :",audio/sample_69.mp3,"A "" Summary of the Work One for November , 1862 , Little Lock Arsenal "" shows : Fabrication :"
70,"75 @,@ 000 buck & ball cartridges - percussion",audio/sample_70.mp3,"75 @,@ 000 buck & ball cartridges - percussion"
71,"14 @,@ 000 buck & ball cartridges - flint",audio/sample_71.mp3,"14 @,@ 000 buck & ball cartridges - flint"
72,275 paper fuzes,audio/sample_72.mp3,275 paper fuses
73,"117 rounds , 6 @-@ pounder canister shot",audio/sample_73.mp3,"117 rounds , 6 @-@ plunder canister shot"
74,"130 rounds , 6 @-@ pounder ball shot",audio/sample_74.mp3,"130 rounds , 6 @-@ plunder ball shot"
